question,answer,latency,timestamp,context_found,source_documents,mode,error
﻿question,"粗大ごみ
事前申込制",1.1508255004882812,2025-09-04T10:37:21.266018,True,5,blocking,
「水槽」は粗大ごみに該当しますか？出すときの注意点は？,"粗大ごみ
事前申込制",0.976952314376831,2025-09-04T10:37:22.445728,True,5,blocking,
「カップめんなどの容器・フィルム」は何ごみとして出せばよいですか？,"プラスチック
申し訳ございませんが、紙製の容器については家庭ごみとして出してください。",1.155592918395996,2025-09-04T10:37:23.803855,True,1,blocking,
「動物の死体（ペット）」は何ごみとして出せばよいですか？,"出し方：家庭ごみ
備考：動物愛護センターでも受付（電話093-581-1800）",1.1851346492767334,2025-09-04T10:37:25.191363,True,4,blocking,
「プラモデル」はどの区分で出しますか？,"プラスチック
備考：nan",1.1365351676940918,2025-09-04T10:37:26.530376,True,5,blocking,
「剣山」の適切な出し方を教えてください。,"小物金属
小物金属回収ボックスへ",1.2130815982818604,2025-09-04T10:37:27.945874,True,5,blocking,
「布団乾燥機」は粗大ごみですか？,"出し方：粗大ごみ
備考：事前申込制",0.8784277439117432,2025-09-04T10:37:29.026687,True,1,blocking,
「チラシ（新聞折込み）」はどう出しますか？,"古紙
備考：古紙回収ボックスへ",1.2223961353302002,2025-09-04T10:37:30.451453,True,5,blocking,
「びん（ソース・ドレッシングびん）」は汚れの処理をどうして出しますか？,"かん・びん
備考：油をよく落として",1.2659590244293213,2025-09-04T10:37:31.919853,True,5,blocking,
「扇風機」は粗大ごみですか？,"出し方：粗大ごみ
備考：事前申込制",0.8763909339904785,2025-09-04T10:37:32.998598,True,1,blocking,
「蛍光管（環型・直型）」は壊れている場合と壊れていない場合でどう出しますか？,"粗大ごみ
事前予約制",1.1541633605957031,2025-09-04T10:37:34.355135,True,5,blocking,
「ワイヤー」はどの区分で出しますか？,"小物金属
小物金属回収ボックスへ。長い場合は巻いた状態で",1.2178921699523926,2025-09-04T10:37:35.775414,True,5,blocking,
「カタログ（パンフレット）」は何ごみですか？,"粗大ごみ
事前申込制",1.1512863636016846,2025-09-04T10:37:37.129117,True,5,blocking,
「弁当箱」は材質によって分別は変わりますか？,"出し方：家庭ごみ
備考：金属製のものは小物金属回収ボックスへ。プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック",1.920952558517456,2025-09-04T10:37:39.252458,True,2,blocking,
「じょうろ」はどう分別しますか？,"粗大ごみ
事前申込制",1.1592650413513184,2025-09-04T10:37:40.614110,True,5,blocking,
「ケチャップのチューブ（ふた含む）」はどう出しますか？,家庭ごみ,0.9963221549987793,2025-09-04T10:37:41.812813,True,5,blocking,
「プランター」はサイズで出し方が変わりますか？,"粗大ごみ
事前申込制",1.1548070907592773,2025-09-04T10:37:43.170041,True,5,blocking,
「ミニコンポ」は何ごみですか？,"粗大ごみ
事前申込制",0.7481727600097656,2025-09-04T10:37:44.120606,True,2,blocking,
「絵の具のチューブ（プラ製）」はどう出しますか？,"プラスチック
中身を使い切って",0.7701554298400879,2025-09-04T10:37:45.093120,True,1,blocking,
「一升びん」はどの区分ですか？,"かん・びん
申し訳ございませんが、該当する情報がありません。北九州市のホームページでご確認いただくか、お住まいの区役所にお問い合わせください。",1.6114051342010498,2025-09-04T10:37:46.906895,True,1,blocking,
「水銀体温計・水銀血圧計」はどう処分しますか？,"出し方：区役所または出張所の回収ボックスへ
備考：水銀体温計回収ボックスへ。壊れたものは、硬い紙などで直接触れないようすべて集め、ポリ袋に入れ、家庭ごみで出してください",1.9332540035247803,2025-09-04T10:37:49.042564,True,1,blocking,
「マットレス」は何ごみですか？,"粗大ごみ
事前申込制",0.7465426921844482,2025-09-04T10:37:49.991527,True,1,blocking,
「PPバンド」はどのように出しますか？,プラスチック,1.0319809913635254,2025-09-04T10:37:51.225957,True,5,blocking,
「リチウム電池（充電不可）」はどう出しますか？,"電池類
電池類回収ボックスへ",1.2231500148773193,2025-09-04T10:37:52.651551,True,5,blocking,
「ソファー」は粗大ごみですか？,"出し方：粗大ごみ
備考：事前申込制",0.8739540576934814,2025-09-04T10:37:53.727882,True,1,blocking,
「モバイルバッテリー」はどの区分ですか？,"電池類
電池類回収ボックスへ",0.7840230464935303,2025-09-04T10:37:54.714276,True,1,blocking,
